,Town,Region,Country,Town Code,Website,Phone,Postal Code,Mayor,Population,Area,Altitude,LAT,LONG,URL,Inhabitants/Km2
283,Maicao,La Guajira,Colombia,44430,http://maicao-laguajira.gov.co,+5757268930,442007,MOHAMED DASUKI,103124,1789.0,52,11.3764,-72.2455,https://www.municipio.com.co/municipio-maicao.html,57.6
284,Miraflores,Guaviare,Colombia,95200,http://www.miraflores-guaviare.gov.co,+5785210604,952009,Jhoivar Cumbe,6706,12914.0,204,1.33712,-71.9507,https://www.municipio.com.co/municipio-miraflores-guv.html,0.5
285,San José de Uré,Córdoba,Colombia,23682,http://www.sanjosedeure-cordoba.gov.co,+5743394000,234017,Bladimir Londoño Zulbarán,4000,518.0,84,7.783,-75.533,https://www.municipio.com.co/municipio-san-jose-de-ure.html,7.7
286,Uribia,La Guajira,Colombia,44847,http://www.uribia-laguajira.gov.co,+5757177025,441028,BINIFACIO HENRIQUEZ PALMAR,116674,7904.0,71,11.9144,-71.9991,https://www.municipio.com.co/municipio-uribia.html,14.8
287,Manaure,La Guajira,Colombia,44560,http://manaure-laguajira.gov.co,+5757178025,441017,Humberto Martínez Fajardo,68578,1643.0,3,11.767,-72.45,https://www.municipio.com.co/municipio-manaure.html,41.7
288,La Apartada,Córdoba,Colombia,23350,http://laapartada-cordoba.gov.co,+578104319,233507,Luis Carlos Gonzales Jaramillo,12728,268.0,32,8.05,-75.333,https://www.municipio.com.co/municipio-la-apartada.html,47.5
289,Calamar,Guaviare,Colombia,95015,http://www.calamar-guaviare.gov.co,+5785602049,953008,Roymand Gionvanny Garces Reina,6094,16200.0,209,1.9593,-72.6533,https://www.municipio.com.co/municipio-calamar-guv.html,0.4
290,Fonseca,La Guajira,Colombia,44279,http://fonseca-guajira.gov.co,+5757755813,444017,Pedro Segundo Manjarres Fragozo,26881,487.0,176,10.883,-72.85,https://www.municipio.com.co/municipio-fonseca.html,55.2
291,Riohacha,La Guajira,Colombia,44001,http://www.riohacha-laguajira.gov.co,+573243401621,440002,Fabio David Velasquez Rivadeneira,169311,3171.0,3,11.533,-72.9,https://www.municipio.com.co/municipio-riohacha.html,53.4
292,San José del Guaviare,Guaviare,Colombia,95001,http://sanjosedelguaviare-guaviare.gov.co,+5785840072,950009,Geovanny Gómez Criales,39839,13912.0,182,2.567,-72.633,https://www.municipio.com.co/municipio-san-jose-del-guaviare.html,2.9
293,El Retorno,Guaviare,Colombia,95025,http://www.elretorno-guaviare.gov.co,+5785840771,951017,Jorge Eliécer Sánchez Nieto,4119,10434.0,190,2.32915,-72.627,https://www.municipio.com.co/municipio-el-retorno.html,0.4
294,Chimá,Córdoba,Colombia,23168,http://chima-cordoba.gov.co,+5747678008,232018,Francisco De Jesus Banda Banda,13642,335.0,7,9.15,-75.633,https://www.municipio.com.co/municipio-chima-cor.html,40.7
295,Villanueva,La Guajira,Colombia,44874,http://www.villanueva-guajira.gov.co,+5757772032,445008,LUIS ALBERTO BETO BARROS,23605,270.0,235,10.6,-72.983,https://www.municipio.com.co/municipio-villanueva-lag.html,87.4
296,Hatonuevo,La Guajira,Colombia,44378,http://www.hatonuevo-laguajira.gov.co,+5757759209,443020,Élmer De Jesús De Armas Duarte,14796,249.0,186,11.067,-72.767,https://www.municipio.com.co/municipio-hatonuevo.html,59.4
297,Urumita,La Guajira,Colombia,44855,http://urumita-guajira.gov.co,+5757778040,445020,Giovanny Javier Ramos Barros,13450,249.0,224,10.567,-73.017,https://www.municipio.com.co/municipio-urumita.html,54.0
298,La Jagua del Pilar,La Guajira,Colombia,44420,http://www.lajaguadelpilar-laguajira.gov.co,+5755215022,445047,José Augusto Manjarrez Mendoza,2732,183.0,197,10.5091,-73.0729,https://www.municipio.com.co/municipio-la-jagua-del-pilar.html,14.9
299,Caucasia,Antioquia,Colombia,05154,http://www.caucasia-antioquia.gov.co,+5748396286,52410,Jefferson Sarmiento Ortiz,85667,1058.0,50,7.983,-75.2,https://www.municipio.com.co/municipio-caucasia.html,81.0
300,Apartadó,Antioquia,Colombia,05045,http://www.apartado-antioquia.gov.co,+5748280457,57841,Eliecer Arteaga Vargas,134572,607.0,32,7.883,-76.633,https://www.municipio.com.co/municipio-apartado.html,221.7
301,Chigorodó,Antioquia,Colombia,05172,http://chigorodo-antioquia.gov.co,+5748253630,57417,Edgar Payares Berrio,59597,615.0,25,7.667,-76.683,https://www.municipio.com.co/municipio-chigorodo.html,96.9
302,Envigado,Antioquia,Colombia,05266,http://www.envigado.gov.co,+5703394000,55428,Braulio A. Espinosa Márquez,175337,51.0,1726,6.15,-75.6,https://www.municipio.com.co/municipio-envigado.html,3438.0
303,Necoclí,Antioquia,Colombia,05490,http://necocli-antioquia.gov.co,+5748214166,57870,Jorge Tobón,48679,1377.0,10,8.4357,-76.7767,https://www.municipio.com.co/municipio-necocli.html,35.4
304,Dibulla,La Guajira,Colombia,44090,http://dibulla-laguajira.gov.co,+575757200255,446001,Bienvenido Jose Mejia Brito,22000,1744.0,15,11.267,-73.3,https://www.municipio.com.co/municipio-dibulla.html,12.6
305,Caldas,Antioquia,Colombia,05129,http://caldas.areadigital.gov.co/Paginas/Default.aspx,+5743788500,55448,Carlos Eduardo Duran Franco,68157,152.0,1870,6.1,-75.633,https://www.municipio.com.co/municipio-caldas-ant.html,448.4
306,Barrancas,La Guajira,Colombia,44078,http://www.barrancas-laguajira.gov.co,+5757748108,443047,Jorge Alberto Cerchiaro Figueroa,26462,793.0,156,10.9559,-72.79,https://www.municipio.com.co/municipio-barrancas.html,33.4
307,San Juan del Cesar,La Guajira,Colombia,44650,http://sanjuandelcesar-laguajira.gov.co,+5757740000,444038,Alvaro Diaz Guerra,29532,1347.0,199,10.7719,-73.0022,https://www.municipio.com.co/municipio-san-juan-del-cesar.html,21.9
308,Barbosa,Antioquia,Colombia,05079,http://www.barbosa.gov.co,+5744548300,51027,Hernando Alonso Cataño Velez,42547,208.0,2557,6.433,-75.533,https://www.municipio.com.co/municipio-barbosa-ant.html,204.6
309,Sabaneta,Antioquia,Colombia,05631,https://www.sabaneta.gov.co/,+576044406802,55457,Santiago Montoya Montoya,90743,15.0,1726,6.15,-75.6,https://www.municipio.com.co/municipio-sabaneta.html,6049.5
310,Itagüí,Antioquia,Colombia,05360,http://itagui.areadigital.gov.co/Paginas/inicio.aspx,+5743764885,55412,Leon Mario Bedoya Lopez,233215,17.0,1627,6.15,-75.633,https://www.municipio.com.co/municipio-itagui.html,13718.5
311,Copacabana,Antioquia,Colombia,05212,http://copacabana.areadigital.gov.co/Paginas/Inicio.aspx,+5742740069,51040,Hector Augusto Monsalve Restrepo,61421,71.0,1673,6.333,-75.5,https://www.municipio.com.co/municipio-copacabana.html,865.1
312,Albania,La Guajira,Colombia,44035,http://www.alcaldiadealbania.gov.co,+5757775164,443001,Yan Keller Hernandez Herazo,19429,545.0,109,11.151,-72.6093,https://www.municipio.com.co/municipio-albania-lag.html,35.6
313,Rionegro,Antioquia,Colombia,05615,http://www.rionegro.gov.co,+576045204060,54047,Rodrigo Hernandez Alzate,101046,198.0,2109,6.15,-75.367,https://www.municipio.com.co/municipio-rionegro-ant.html,510.3
314,Turbo,Antioquia,Colombia,05837,http://www.turbo-antioquia.gov.co,+5748273273,57867,Alejandro Abuchar Gonzalez,122780,3090.0,2,8.10274,-76.7233,https://www.municipio.com.co/municipio-turbo.html,39.7
315,Puerto Berrío,Antioquia,Colombia,05579,http://www.ptoberrio.gov.co,+5748332901,53427,Gustavo Medina,46883,1198.0,123,6.48998,-74.4025,https://www.municipio.com.co/municipio-puerto-berrio.html,39.1
316,La Estrella,Antioquia,Colombia,05380,http://laestrella.areadigital.gov.co/Paginas/inicio.aspx,+5742795841,55468,Lisardo Antonio Acevedo Ortiz,52763,35.0,1627,6.15,-75.633,https://www.municipio.com.co/municipio-la-estrella.html,1507.5
317,El Molino,La Guajira,Colombia,44110,http://elmolino-laguajira.gov.co,+5757788526,444050,Luis Alfredo Escobar Rodríguez,7346,242.0,264,10.65,-72.917,https://www.municipio.com.co/municipio-el-molino.html,30.4
318,Distracción,La Guajira,Colombia,44098,http://distraccion-laguajira.gov.co,+5757756237,444001,Pedro Javier Guerra Chinchia,12023,232.0,193,10.9,-72.883,https://www.municipio.com.co/municipio-distraccion.html,51.8
319,Medellín,Antioquia,Colombia,05001,http://www.medellin.gov.co,+5743855208,50035,Daniel Quintero Calle,2222213,387.0,1579,6.217,-75.567,https://www.municipio.com.co/municipio-medellin.html,5742.2
320,Bello,Antioquia,Colombia,05088,http://bello.areadigital.gov.co,+5744521000,51050,Cesar Agusto Suarez Mira ,532154,151.0,1414,6.333,-75.55,https://www.municipio.com.co/municipio-bello.html,3524.2
321,La Ceja,Antioquia,Colombia,05376,http://laceja-antioquia.gov.co,+5745531414,55017,Nelson Carmona Lopera,46366,133.0,2149,6.017,-75.417,https://www.municipio.com.co/municipio-la-ceja.html,348.6
322,Andes,Antioquia,Colombia,05034,http://www.andes-antioquia.gov.co,+5748414101,56060,John Jairo Mejía Aramburo,41491,449.0,1516,5.65,-75.867,https://www.municipio.com.co/municipio-andes.html,92.4
323,Girardota,Antioquia,Colombia,05308,http://www.girardota.gov.co,+5744054200,51038,Yan Bladimir Jaramillo Garcia ,42818,79.0,1521,6.367,-75.433,https://www.municipio.com.co/municipio-girardota.html,542.0
324,Marinilla,Antioquia,Colombia,05440,http://www.marinilla-antioquia.gov.co,+5745484101,54027,Edgar Augusto Villegas Ramirez,45658,116.0,2123,6.167,-75.333,https://www.municipio.com.co/municipio-marinilla.html,393.6
325,Carepa,Antioquia,Colombia,05147,http://www.alcaldiacarepa.gov.co,+5748238445,57850,Jonan Alexis Cerquera,42294,384.0,40,7.75,-76.65,https://www.municipio.com.co/municipio-carepa.html,110.1
326,Yarumal,Antioquia,Colombia,05887,http://www.yarumal.gov.co,+5748870707,52038,Miguel Angel Pelaez Henao,31816,733.0,2067,6.95,-75.417,https://www.municipio.com.co/municipio-yarumal.html,43.4
327,Guarne,Antioquia,Colombia,05318,http://www.guarne-antioquia.gov.co,+5745510025,54050,Sneyder Willington Quiceno Marin,39753,153.0,2133,6.267,-75.433,https://www.municipio.com.co/municipio-guarne.html,259.8
328,El Carmen de Viboral,Antioquia,Colombia,05148,http://elcarmendeviboral-antioquia.gov.co,+5745432000,54037,Néstor Joaquín Martínez Jiménez,40968,453.0,2150,6.083,-75.333,https://www.municipio.com.co/municipio-carmen-de-viboral.html,90.4
329,Sonsón,Antioquia,Colombia,05756,http://www.sonson-antioquia.gov.co,+5748691181,54829,Obed De Jesus Zuluaga Henao,37065,1339.0,2375,5.7,-75.3,https://www.municipio.com.co/municipio-sonson.html,27.7
330,El Bagre,Antioquia,Colombia,05250,http://www.elbagre-antioquia.gov.co,+5748372432,52430,Harold Alonso Echeverri Avendaño,37862,1951.0,84,7.583,-74.8,https://www.municipio.com.co/municipio-el-bagre.html,19.4
331,Segovia,Antioquia,Colombia,05736,http://www.segovia-antioquia.gov.co,+5748315493,52817,Gustavo Alonso Tobon Velez,34324,1246.0,431,7.25213,-74.749,https://www.municipio.com.co/municipio-segovia.html,27.5
332,Arboletes,Antioquia,Colombia,05051,http://arboletes-antioquia.gov.co,+5748200367,57828,Lorenzo Ii Acuña Romero,31039,718.0,4,8.85,-76.433,https://www.municipio.com.co/municipio-arboletes.html,43.2
333,Urrao,Antioquia,Colombia,05847,http://urrao-antioquia.gov.co,+5748502300,56830,Herbert Henry Holguin Diaz,32439,2585.0,1818,6.317,-76.133,https://www.municipio.com.co/municipio-urrao.html,12.5
334,Tarazá,Antioquia,Colombia,05790,http://www.taraza-antioquia.gov.co,+5748218628,52467,Gladis Rebaca Miguel Vides ,30633,1578.0,95,7.583,-75.4,https://www.municipio.com.co/municipio-taraza.html,19.4
335,Santa Rosa de Osos,Antioquia,Colombia,05686,http://www.santarosadeosos-antioquia.gov.co,+5748608020,51867,Francisco Jair Palacio Lopera,31028,822.0,2544,6.633,-75.467,https://www.municipio.com.co/municipio-santa-rosa-de-osos.html,37.7
336,Amagá,Antioquia,Colombia,05030,http://www.amaga-antioquia.gov.co,+5748472122,55847,Leonardo de Jesús Molina Rodas,29715,85.0,1591,6.05,-75.683,https://www.municipio.com.co/municipio-amaga.html,349.6
337,Remedios,Antioquia,Colombia,05604,http://www.remedios-antioquia.gov.co,+5748303828,52828,Lucia Del Socorro Carvajal De Silvera,20675,2008.0,536,7.03207,-74.5334,https://www.municipio.com.co/municipio-remedios.html,10.3
338,Abejorral,Antioquia,Colombia,05002,http://www.abejorral-antioquia.gov.co,+5748647004,55037,Mario De Jesus Gutierrez Guzman,19893,497.0,2270,5.783,-75.417,https://www.municipio.com.co/municipio-abejorral.html,40.0
339,Yolombó,Antioquia,Colombia,05890,http://yolombo-antioquia.gov.co,+5748654181,53027,Jose Roso Muñoz Londoño Alcalde ( E ),20099,952.0,1450,6.583,-75,https://www.municipio.com.co/municipio-yolombo.html,21.1
340,Dabeiba,Antioquia,Colombia,05234,http://www.dabeiba.gov.co,+5748591293,57430,Antonio Jose Lara Varelas,19783,1905.0,753,7,-76.25,https://www.municipio.com.co/municipio-dabeiba.html,10.4
341,Frontino,Antioquia,Colombia,05284,http://www.frontino-antioquia.gov.co,+5748595032,57450,Yudy Estella Pulgarin Marin,18573,1278.0,1458,6.767,-76.117,https://www.municipio.com.co/municipio-frontino.html,14.5
342,Salgar,Antioquia,Colombia,05642,http://www.salgar-antioquia.gov.co,+5748442330,56478,Carlos Emel Cuervo Cañola,18074,423.0,1611,5.95,-75.967,https://www.municipio.com.co/municipio-salgar.html,42.7
343,Amalfi,Antioquia,Colombia,05031,http://www.amalfi-antioquia.gov.co,+5748301919,52840,Roman Fernando Monsalve Sanchez,20302,1224.0,1633,6.9,-75.067,https://www.municipio.com.co/municipio-amalfi.html,16.6
344,Nechí,Antioquia,Colombia,05495,http://www.municipionechi.gov.co,+5748368585,52420,Miguel Enrique Franco Menco,17789,925.0,30,8.083,-74.767,https://www.municipio.com.co/municipio-nechi.html,19.2
345,Betulia,Antioquia,Colombia,05093,http://www.betulia.gov.co,+5748436157,56868,Benjamín Alonso Suárez Castillo,16665,255.0,1581,6.117,-75.983,https://www.municipio.com.co/municipio-betulia-ant.html,65.4
346,Valdivia,Antioquia,Colombia,05854,http://www.valdivia-antioquia.gov.co,+5748360216,52010,Olga Cecilia Arroyave Molina 2020 - 2023,16489,551.0,220,7.283,-75.4,https://www.municipio.com.co/municipio-valdivia.html,29.9
347,Puerto Nare,Antioquia,Colombia,05585,http://www.puertonare.gov.co,+5748347047,53437,Jamel Mejia,16711,668.0,119,6.19175,-74.5862,https://www.municipio.com.co/municipio-puerto-nare.html,25.0
348,Donmatías,Antioquia,Colombia,05237000,http://www.donmatias-antioquia.gov.co,+5748666230,N/A,Yudy Marcela Peña Correa,17759,183.0,2323,6.483,-75.417,https://www.municipio.com.co/municipio-donmatias.html,97.0
349,La Unión,Antioquia,Colombia,05400,http://launion-antioquia.gov.co,+5745560610,55028,Édgar Alexánder Osorio Londoño,17836,200.0,2490,5.967,-75.35,https://www.municipio.com.co/municipio-la-union-ant.html,89.2
350,El Retiro,Antioquia,Colombia,05607000,http://elretiro-antioquia.gov.co,+5744025450,N/A,Carlos Mario Salazar B.,16974,276.0,2278,6.05,-75.5,https://www.municipio.com.co/municipio-el-retiro.html,61.5
351,San Roque,Antioquia,Colombia,05670,http://www.sanroque.gov.co,+5748656755,53030,Javier López García,17958,446.0,1402,6.467,-75,https://www.municipio.com.co/municipio-san-roque.html,40.3
352,Cañasgordas,Antioquia,Colombia,05138,http://www.canasgordas-antioquia.gov.co,+5748564101,57060,Aicardo Antonio Urrego Usuga,16518,396.0,1288,6.74972,-76.0258,https://www.municipio.com.co/municipio-canasgordas.html,41.7
353,Concordia,Antioquia,Colombia,05209,http://www.concordia-antioquia.gov.co,+5748446101,56410,Diego Alejandro Restrepo Guerra ,21226,234.0,2035,6.05,-75.9,https://www.municipio.com.co/municipio-concordia-ant.html,90.7
354,San Pedro de los Milagros,Antioquia,Colombia,05664,http://sanpedrodelosmilagros-antioquia.gov.co,+576048687039,51017,Gustavo León Zapata Barrientos,25491,292.0,2462,6.45,-75.55,https://www.municipio.com.co/municipio-san-pedro-de-los-milagros.html,87.3
355,Antioquia,Antioquia,Colombia,05042000,http://santafedeantioquia-antioquia.gov.co,+5748531793,N/A,Saulo Armando Rivera Fernandez ,22613,499.0,574,6.55,-75.817,https://www.municipio.com.co/municipio-antioquia.html,45.3
356,Santuario,Antioquia,Colombia,05697000,http://www.elsantuario-antioquia.gov.co,+5745460080,N/A,Luis Alexandri Ramirez Duque,26152,76.0,2174,6.133,-75.25,https://www.municipio.com.co/municipio-santuario-ant.html,344.1
357,Fredonia,Antioquia,Colombia,05282,http://www.fredonia-antioquia.gov.co,+5748401264,55078,GUSTAVO DE JESUS GUZMAN MALDONADO,22581,250.0,1676,5.917,-75.667,https://www.municipio.com.co/municipio-fredonia.html,90.3
358,Bolívar,Antioquia,Colombia,05101000,http://www.ciudadbolivar-antioquia.gov.co,+5748412552,N/A,Antonio De Jesus Castaño Gonzalez ,28090,285.0,1191,5.85,-76.017,https://www.municipio.com.co/municipio-bolivar-ant.html,98.6
359,San Pedro de Urabá,Antioquia,Colombia,05665,http://www.sanpedrodeuraba-antioquia.gov.co,+5748205033,57830,Neder Luis Díaz Díaz,28747,482.0,132,8.283,-76.383,https://www.municipio.com.co/municipio-san-pedro-de-uraba.html,59.6
360,San Vicente,Antioquia,Colombia,05674,http://www.sanvicente-antioquia.gov.co,+5748544154,54017,Fernando Arturo Jaramillo A.,25069,243.0,2150,6.267,-75.333,https://www.municipio.com.co/municipio-san-vicente-ant.html,103.2
361,Zaragoza,Antioquia,Colombia,05895,http://www.zaragoza-antioquia.gov.co,+5748388123,52440,Albeiro De Jesus Menoyos Alvarez,25173,1077.0,52,7.483,-74.867,https://www.municipio.com.co/municipio-zaragoza.html,23.4
362,Támesis,Antioquia,Colombia,05789,http://www.tamesis-antioquia.gov.co,+5748494595,56028,Ivan Alexander Zuluaga Zuluaga ,16212,246.0,1634,5.667,-75.717,https://www.municipio.com.co/municipio-tamesis.html,65.9
363,Cáceres,Antioquia,Colombia,05120,http://www.caceres-antioquia.gov.co,+5748362201,52457,Ubaldo Enrique Pacheco Julio,28145,1996.0,85,7.583,-75.317,https://www.municipio.com.co/municipio-caceres.html,14.1
364,San Juan de Urabá,Antioquia,Colombia,05659,http://sanjuandeuraba-antioquia.gov.co,+5748212100,57810,Hernando de la Rosa Mesa,20938,241.0,10,8.75,-76.517,https://www.municipio.com.co/municipio-san-juan-de-uraba.html,86.9
365,Jardín,Antioquia,Colombia,05364,http://www.eljardin-antioquia.gov.co,+5748451111,56050,William Enrique Rendon Agudelo,14323,227.0,1749,5.6,-75.817,https://www.municipio.com.co/municipio-jardin.html,63.1
366,Cocorná,Antioquia,Colombia,05197,http://www.cocorna-antioquia.gov.co,+5748343404,54447,Johan Alberto Ramirez Mejia,14306,221.0,1150,6.05,-75.183,https://www.municipio.com.co/municipio-cocorna.html,64.7
367,Ituango,Antioquia,Colombia,05361,http://www.ituangoantioquia.gov.co,+5748643020,52078,Hernan Darío Álvarez Uribe,23784,2375.0,1404,7.167,-75.733,https://www.municipio.com.co/municipio-ituango.html,10.0
368,Santa Bárbara,Antioquia,Colombia,05679,http://santabarbara-antioquia.gov.co,+5748463101,55058,Jorge Hernán Ramírez Valencia,23442,188.0,1550,5.867,-75.567,https://www.municipio.com.co/municipio-santa-barbara-ant.html,124.7
369,San Rafael,Antioquia,Colombia,05667,http://www.sanrafael-antioquia.gov.co,+5748586708,53837,Édgar Eladio Giraldo Morales,13203,366.0,1058,6.3,-75.017,https://www.municipio.com.co/municipio-san-rafael.html,36.1
370,Titiribí,Antioquia,Colombia,05809,http://www.titiribi-antioquia.gov.co,+5748482344,55850,Diego Antonio Montoya Taborda,13324,144.0,1758,6.05,-75.783,https://www.municipio.com.co/municipio-titiribi.html,92.5
371,Puerto Triunfo,Antioquia,Colombia,05591,http://www.puertotriunfo-antioquia.gov.co,+5748352117,53448,Santiago Lopez,16349,365.0,150,5.86723,-74.6487,https://www.municipio.com.co/municipio-puerto-triunfo.html,44.8
372,Venecia,Antioquia,Colombia,05861,http://www.venecia-antioquia.gov.co,+5748490023,56420,Ferney Dario Fernandez,13352,143.0,1291,5.967,-75.733,https://www.municipio.com.co/municipio-venecia-ant.html,93.4
373,Yondó,Antioquia,Colombia,05893,http://www.yondo.gov.co,+5748325025,53418,Gibert Cartagena Rojas,13475,1903.0,78,7,-73.917,https://www.municipio.com.co/municipio-yondo.html,7.1
374,Sopetrán,Antioquia,Colombia,05761,http://www.sopetran-antioquia.gov.co/,+578541560,51440,DIEGO ALEJANDRO VILLA VALDERRAMA,13352,226.0,909,6.5,-75.733,https://www.municipio.com.co/municipio-sopetran.html,59.1
375,El Peñol,Antioquia,Colombia,05541000,http://elpenol-antioquia.gov.co,+5748515944,N/A,Yony Albeiro Ramírez C.,16177,145.0,1966,6.217,-75.217,https://www.municipio.com.co/municipio-el-penol-ant.html,111.6
376,Santo Domingo,Antioquia,Colombia,05690,http://www.santodomingo.gov.co,+5748621313,53047,Fabio Ignacio Mira V.,11418,274.0,1962,6.467,-75.167,https://www.municipio.com.co/municipio-santo-domingo.html,41.7
377,Gómez Plata,Antioquia,Colombia,05310,http://gomezplata-antioquia.gov.co,+5748627522,51830,Mario Restrepo Pérez,11229,364.0,1828,6.683,-75.217,https://www.municipio.com.co/municipio-gomez-plata.html,30.8
378,Ebéjico,Antioquia,Colombia,05240,http://www.ebejico-antioquia.gov.co,+5748562432,55810,Jorge Ivan Vasquez Arboleda,12313,238.0,1231,6.317,-75.767,https://www.municipio.com.co/municipio-ebejico.html,51.7
379,Mutatá,Antioquia,Colombia,05480,http://mutata-antioquia.gov.co,+5748578602,57428,Jairo Enrique Ortiz Palacios,9671,1119.0,155,7.233,-76.433,https://www.municipio.com.co/municipio-mutata.html,8.6
380,Campamento,Antioquia,Colombia,05134,http://www.campamento-antioquia.gov.co,+5748614020,52027,Juan Pablo Torres Piedrahita  ,10000,202.0,1227,6.967,-75.283,https://www.municipio.com.co/municipio-campamento.html,49.5
381,San Jerónimo,Antioquia,Colombia,05656,http://sanjeronimo-antioquia.gov.co,+5748582024,51077,Luis Alberto Pulgarín Cano,11603,157.0,928,6.433,-75.717,https://www.municipio.com.co/municipio-san-jeronimo.html,73.9
382,Vegachí,Antioquia,Colombia,05858,http://vegachi-antioquia.gov.co,+5748305606,52830,Jose Maria Ochoa Muñoz,11086,518.0,1010,6.767,-74.8,https://www.municipio.com.co/municipio-vegachi.html,21.4
383,Jericó,Antioquia,Colombia,05368,http://www.jerico-antioquia.gov.co,+5748523101,56010,David Alonso Toro Cadavid,12761,195.0,1893,6.267,-75.783,https://www.municipio.com.co/municipio-jerico-ant.html,65.4
384,Angostura,Antioquia,Colombia,05038,http://www.angostura-antioquia.gov.co,+5748645046,51810,Marta Lucia Porras Arenas ,12371,392.0,1690,6.883,-75.333,https://www.municipio.com.co/municipio-angostura.html,31.6
385,Anorí,Antioquia,Colombia,05040,http://www.anori.gov.co,+5748350842,52857,Nicolas Guillermo Heron Arango ,9638,1447.0,1518,7.067,-75.133,https://www.municipio.com.co/municipio-anori.html,6.7
386,Entrerríos,Antioquia,Colombia,05264,http://www.entrerrios-antioquia.gov.co,+5748670411,51430,Jorge Alonso Tamayo Villa,8452,222.0,2380,6.55,-75.517,https://www.municipio.com.co/municipio-entrerrios.html,38.1
387,Betania,Antioquia,Colombia,05091,http://www.betania.gov.co,+5748435127,56070,Ronald Alejandro Sanchez Sanchez,10120,170.0,1311,5.733,-75.967,https://www.municipio.com.co/municipio-betania.html,59.5
388,San Carlos,Antioquia,Colombia,05649,http://www.sancarlosantioquia.gov.co,+5748358066,54420,María Patricia Giraldo Ramírez,11854,710.0,972,6.183,-74.983,https://www.municipio.com.co/municipio-san-carlos-ant.html,16.7
389,Nariño,Antioquia,Colombia,05483,http://narino-antioquia.gov.co,+5748680113,54840,Carlos Arturo Marin Londoño ,9043,317.0,1650,5.6,-75.167,https://www.municipio.com.co/municipio-narino-ant.html,28.5
390,Sabanalarga,Antioquia,Colombia,05628,http://www.sabanalarga-antioquia.gov.co,+5748554201,57027,Morel Alonso Mazo Gutiérrez,8136,268.0,842,6.85,-75.817,https://www.municipio.com.co/municipio-sabanalarga-ant.html,30.4
391,Granada,Antioquia,Colombia,05313,http://granada-antioquia.gov.co,+5748320801,54417,Omar De Jesus Gomez Aristizabal,9436,185.0,2132,6.15,-75.183,https://www.municipio.com.co/municipio-granada-ant.html,51.0
392,Pueblorrico,Antioquia,Colombia,05576,http://www.pueblorrico-antioquia.gov.co,+5748332901,56440,Carlos Arturo Quintero Hurtado,8168,86.0,1848,5.783,-75.833,https://www.municipio.com.co/municipio-pueblorrico.html,95.0
393,San Luis,Antioquia,Colombia,05660,http://sanluis-antioquia.gov.co,+5748348115,54437,Carlos Mario Gómez Urrea,10780,458.0,877,6.033,-74.983,https://www.municipio.com.co/municipio-san-luis-ant.html,23.5
394,Liborina,Antioquia,Colombia,05411,http://www.liborina-antioquia.gov.co,+5748561940,51467,Adriana Maria Maya Gallego,9370,220.0,820,6.683,-75.8,https://www.municipio.com.co/municipio-liborina.html,42.6
395,Cisneros,Antioquia,Colombia,05190,http://www.cisneros-antioquia.gov.co,+5748631550,53057,Luis Guillermo Alvarez Gonzalez,9617,47.0,1038,6.53833,-75.0886,https://www.municipio.com.co/municipio-cisneros.html,204.6
396,Tarso,Antioquia,Colombia,05792,http://www.tarso-antioquia.gov.co,+5748458541,56437,Nestor Fernando Romero Villada ,7120,120.0,1266,5.867,-75.817,https://www.municipio.com.co/municipio-tarso.html,59.3
397,Argelia,Antioquia,Colombia,05055,http://www.argelia-antioquia.gov.co,+5748650077,54830,Bairo Martinez Morales,6823,257.0,1678,5.733,-75.133,https://www.municipio.com.co/municipio-argelia-ant.html,26.5
398,Guatapé,Antioquia,Colombia,05321,http://www.guatape-antioquia.gov.co,+5748610673,53840,Juan Sebastian Perez Flore,7200,70.0,1880,6.233,-75.15,https://www.municipio.com.co/municipio-guatape.html,102.9
399,Uramita,Antioquia,Colombia,05842,http://www.uramita.gov.co,+5748574066,57447,Luis Alfredo Torres Arango,7262,239.0,771,6.9,-76.167,https://www.municipio.com.co/municipio-uramita.html,30.4
400,Maceo,Antioquia,Colombia,05425,http://www.maceo-antioquia.gov.co,+5748640209,53460,Edgar Alirio Gonzalez Agudelo,7534,436.0,950,6.55138,-74.7834,https://www.municipio.com.co/municipio-maceo.html,17.3
401,Peque,Antioquia,Colombia,05543,http://www.peque-antioquia.gov.co,+573227509641,57018,Froy Faber Hernández,7520,397.0,986,7.017,-75.9,https://www.municipio.com.co/municipio-peque.html,18.9
402,Caicedo,Antioquia,Colombia,05125,http://www.caicedo-antioquia.gov.co,+5748572134,56840,Miguel Alfonso Martinez Gaviria,7669,224.0,1897,6.4,-75.983,https://www.municipio.com.co/municipio-caicedo.html,34.2
403,La Pintada,Antioquia,Colombia,05390,http://www.lapintada-antioquia.gov.co,+5748453562,55060,Rodrigo Garcia Londoño,6997,55.0,924,5.75,-75.583,https://www.municipio.com.co/municipio-la-pintada.html,127.2
404,Angelópolis,Antioquia,Colombia,05036,http://www.angelopolis-antioquia.gov.co,+5748421005,55830,Olga Lucia Zapata Marin,7648,87.0,1837,6.1,-75.717,https://www.municipio.com.co/municipio-angelopolis.html,87.9
405,Anzá,Antioquia,Colombia,05044,http://www.anza-antioquia.gov.co,+5748522082,56857,Alexandra Sanches Marin  ,7371,256.0,524,6.3,-75.85,https://www.municipio.com.co/municipio-anza.html,28.8
